Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
edycja_profilu,Chrome 96.0.4664.110,,,2021-12-22 00:12:04,2021-12-22 00:16:29,"4m - 24,794s",FAILED
,,,,,,,
Test Cases/komunikator testy edycja profilu/PE1,Chrome 96.0.4664.110,,,2021-12-22 00:12:05,2021-12-22 00:12:21,"15,874s",PASSED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-22 00:12:06,2021-12-22 00:12:10,"3,963s",PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-22 00:12:10,2021-12-22 00:12:10,"0,532s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Chrome 96.0.4664.110,,,2021-12-22 00:12:10,2021-12-22 00:12:12,"1,860s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinah"")",Chrome 96.0.4664.110,,,2021-12-22 00:12:12,2021-12-22 00:12:13,"0,930s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-22 00:12:13,2021-12-22 00:12:14,"0,557s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-22 00:12:14,2021-12-22 00:12:14,"0,453s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/img_Zarejestruj konto_profile""))",Chrome 96.0.4664.110,,,2021-12-22 00:12:14,2021-12-22 00:12:15,"0,869s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_oldPass""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-22 00:12:15,2021-12-22 00:12:16,"0,662s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPass""), ""qeJ0sjJnwEs="")",Chrome 96.0.4664.110,,,2021-12-22 00:12:16,2021-12-22 00:12:16,"0,532s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPassRepeat""), ""qeJ0sjJnwEs="")",Chrome 96.0.4664.110,,,2021-12-22 00:12:16,2021-12-22 00:12:17,"0,537s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_changePassword""))",Chrome 96.0.4664.110,,,2021-12-22 00:12:17,2021-12-22 00:12:17,"0,601s",PASSED
"verifyElementText(findTestObject(""Page_PSTO webMessenger - Zalogowano/p_Haslo zostalo zmienione""), ""HASŁO ZOSTAŁO ZMIENIONE!"")",Chrome 96.0.4664.110,,,2021-12-22 00:12:17,2021-12-22 00:12:18,"0,610s",PASSED
